Transformation,Core SMILES,Monomer SMILES,Product SMILES,Alkyl Group SMILES [Core],Alkyl Group SMILES [X],Salt,Salt Ratio,Yield (%),Yield,Purified,C(sp3)-X Substitution,Main C(sp3) substituent Type,Remote FG,,,
CEC-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(Br)c1ccccc1,CC(c1ccccc1)c2cnc(nc2)N3CCN(C[C@H]3C)C(=O)COC(C)(C)C,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C(=O)O)c1ccccc1,CC(c1ccccc1)c2cnc(nc2)N3CCN(C[C@H]3C)C(=O)COC(C)(C)C,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,8,0.0787,3.9,2 - Secondary,aryl/heteroaryl,--,,,
BF3K-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,F[B-](F)(F)C(C)C1=CC=CC=C1.[K+],CC(c1ccccc1)c2cnc(nc2)N3CCN(C[C@H]3C)C(=O)COC(C)(C)C,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
CEC-Ni-Weix,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(Cl)c1ccccc1,CC(c1ccccc1)c2cnc(nc2)N3CCN(C[C@H]3C)C(=O)COC(C)(C)C,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
Negishi-Pd,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC([Zn]Br)c1ccccc1,CC(c1ccccc1)c2cnc(nc2)N3CCN(C[C@H]3C)C(=O)COC(C)(C)C,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,TFA,1,52,0.5249,26.8,2 - Secondary,aryl/heteroaryl,--,,,
BF3K-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,F[B-](F)(F)C(C)C1=CC=CC=C1.[K+],CC(c1ccccc1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
CEC-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(Br)c1ccccc1,CC(c1ccccc1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C(=O)O)c1ccccc1,CC(c1ccccc1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,0,0,2 - Secondary,aryl/heteroaryl,--,,,
BF3K-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,F[B-](F)(F)C(C)C1=CC=CC=C1.[K+],CC(c1ccccc1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,,,0,,,2 - Secondary,aryl/heteroaryl,--,,,
CEC-Ni-Weix,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(Cl)c1ccccc1,CC(c1ccccc1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,TFA,1,3,0.032,1.3,2 - Secondary,aryl/heteroaryl,--,,,
Negishi-Pd,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC([Zn]Br)c1ccccc1,CC(c1ccccc1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C(C)c1ccccc1,[X]C(C)c1ccccc1,TFA,1,26,0.2584,10.5,2 - Secondary,aryl/heteroaryl,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,C[C@H](NC(=O)OC(C)(C)C)C(=O)O,,[Core]C(C)NC(OC(C)(C)C)=O,[X]C(C)NC(OC(C)(C)C)=O,,,24,0.2436,9.1,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,C[C@H](NC(=O)OC(C)(C)C)C(=O)O,,[Core]C(C)NC(OC(C)(C)C)=O,[X]C(C)NC(OC(C)(C)C)=O,TFA,1,14,0.1377,7.7,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,C[C@H](NC(=O)OC(C)(C)C)C(=O)O,,[Core]C(C)NC(OC(C)(C)C)=O,[X]C(C)NC(OC(C)(C)C)=O,,,24,0.2406,13.1,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,C[C@H](NC(=O)OC(C)(C)C)C(=O)O,,[Core]C(C)NC(OC(C)(C)C)=O,[X]C(C)NC(OC(C)(C)C)=O,,,0,0,0,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,COC(C)C(=O)O,,[Core]C(C)OC,[X]C(C)OC,,,0,0,0,2 - Secondary,oxy - ether,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,COC(C)C(=O)O,,[Core]C(C)OC,[X]C(C)OC,TFA,1,3,0.0331,1.5,2 - Secondary,oxy - ether,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,COC(C)C(=O)O,,[Core]C(C)OC,[X]C(C)OC,,,8,0.0799,3.5,2 - Secondary,oxy - ether,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,COC(C)C(=O)O,,[Core]C(C)OC,[X]C(C)OC,,,0,0,0,2 - Secondary,oxy - ether,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,OC(=O)C1CCC(=O)N1,,[Core]C(CC1)NC1=O,[X]C(CC1)NC1=O,,,25,0.2505,7.4,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,OC(=O)C1CCC(=O)N1,,[Core]C(CC1)NC1=O,[X]C(CC1)NC1=O,TFA,1,10,0.0991,4.8,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,OC(=O)C1CCC(=O)N1,,[Core]C(CC1)NC1=O,[X]C(CC1)NC1=O,,,3,0.0256,1.2,2 - Secondary,amino - carbamate/amide,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,OC(=O)C1CCC(=O)N1,,[Core]C(CC1)NC1=O,[X]C(CC1)NC1=O,,,0,0,0,2 - Secondary,amino - carbamate/amide,--,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1(CC1)C2=CC=CC=C2.[K+],,[Core]C1(CC1)C2=CC=CC=C2,[X]C1(CC1)C2=CC=CC=C2,,,10,0.0984,3.2,3 - Tertiary,aryl/heteroaryl,--,,,
BF3K-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C1(CC1)C2=CC=CC=C2.[K+],,[Core]C1(CC1)C2=CC=CC=C2,[X]C1(CC1)C2=CC=CC=C2,,,0,0,0,3 - Tertiary,aryl/heteroaryl,--,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1CC(NC(OC(C)(C)C)=O)C1.[K+],CC(C)(C)OC(=O)NC1CC(C1)c2cccc(c2)n3cccn3,[Core]C1CC(C1)NC(=O)OC(C)(C)C,[X]C1CC(C1)NC(=O)OC(C)(C)C,,,32,0.3239,12,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1CC(NC(OC(C)(C)C)=O)C1.[K+],CC(C)(C)OC(=O)NC1CC(C1)c2cccc(c2)n3cccn3,[Core]C1CC(C1)NC(=O)OC(C)(C)C,[X]C1CC(C1)NC(=O)OC(C)(C)C,,,2,0.016,0.5,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C1CC(NC(OC(C)(C)C)=O)C1.[K+],CN1CCN(Cc2ccc(cc2)C3CC(C3)NC(=O)OC(C)(C)C)CC1,[Core]C1CC(C1)NC(=O)OC(C)(C)C,[X]C1CC(C1)NC(=O)OC(C)(C)C,TFA,1,0,0,0,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C1CC(NC(OC(C)(C)C)=O)C1.[K+],CN1CCN(Cc2ccc(cc2)C3CC(C3)NC(=O)OC(C)(C)C)CC1,[Core]C1CC(C1)NC(=O)OC(C)(C)C,[X]C1CC(C1)NC(=O)OC(C)(C)C,,,13,0.1279,4.6,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,F[B-](F)(F)C1CC(NC(OC(C)(C)C)=O)C1.[K+],C[C@@H]1CN(CCN1c2ncc(cn2)C3CC(C3)NC(=O)OC(C)(C)C)C(=O)COC(C)(C)C,[Core]C1CC(C1)NC(=O)OC(C)(C)C,[X]C1CC(C1)NC(=O)OC(C)(C)C,,,15,0.1526,8.5,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,F[B-](F)(F)C1CC(NC(OC(C)(C)C)=O)C1.[K+],C[C@@H]1CN(CCN1c2ncc(cn2)C3CC(C3)NC(=O)OC(C)(C)C)C(=O)COC(C)(C)C,[Core]C1CC(C1)NC(=O)OC(C)(C)C,[X]C1CC(C1)NC(=O)OC(C)(C)C,,,12,0.117,5.4,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,F[B-](F)(F)C1CC(NC(OC(C)(C)C)=O)C1.[K+],CC(C)(C)OC(=O)NC1CC(C1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C1CC(C1)NC(=O)OC(C)(C)C,[X]C1CC(C1)NC(=O)OC(C)(C)C,,,4,0.0357,1.6,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,F[B-](F)(F)C1CC(NC(OC(C)(C)C)=O)C1.[K+],CC(C)(C)OC(=O)NC1CC(C1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C1CC(C1)NC(=O)OC(C)(C)C,[X]C1CC(C1)NC(=O)OC(C)(C)C,,,2,0.0224,0.8,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1CC1.[K+],C1(N2C=CC=N2)=CC(C3CC3)=CC=C1,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,BrC1CC1,C1(N2C=CC=N2)=CC(C3CC3)=CC=C1,[Core]C1CC1,[X]C1CC1,,,13,0.1294,3.1,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,OC(=O)C1CC1,C1(N2C=CC=N2)=CC(C3CC3)=CC=C1,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1CC1.[K+],C1(N2C=CC=N2)=CC(C3CC3)=CC=C1,[Core]C1CC1,[X]C1CC1,,,8,0.076,1.4,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,CN1CC(=O)OB(OC(=O)C1)C2CC2,C1(N2C=CC=N2)=CC(C3CC3)=CC=C1,[Core]C1CC1,[X]C1CC1,,,5,0.0543,1,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,BrC1=CC(N2N=CC=C2)=CC=C1,BrC1CC1,C1(N2C=CC=N2)=CC(C3CC3)=CC=C1,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
Negishi-Pd,BrC1=CC(N2N=CC=C2)=CC=C1,Br[Zn]C1CC1,C1(N2C=CC=N2)=CC(C3CC3)=CC=C1,[Core]C1CC1,[X]C1CC1,,,61,0.605,10,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,BrC1CC1,CN1CCN(Cc2ccc(cc2)C3CC3)CC1,[Core]C1CC1,[X]C1CC1,TFA,1,9,0.0906,3.9,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C1CC1.[K+],CN1CCN(Cc2ccc(cc2)C3CC3)CC1,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,OC(=O)C1CC1,CN1CCN(Cc2ccc(cc2)C3CC3)CC1,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C1CC1.[K+],CN1CCN(Cc2ccc(cc2)C3CC3)CC1,[Core]C1CC1,[X]C1CC1,,,49,0.4949,11.4,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CN1CC(=O)OB(OC(=O)C1)C2CC2,CN1CCN(Cc2ccc(cc2)C3CC3)CC1,[Core]C1CC1,[X]C1CC1,,,4,0.0434,1,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,CN1CCN(CC(C=C2)=CC=C2Br)CC1,BrC1CC1,CN1CCN(Cc2ccc(cc2)C3CC3)CC1,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
Negishi-Pd,CN1CCN(CC(C=C2)=CC=C2Br)CC1,Br[Zn]C1CC1,CN1CCN(Cc2ccc(cc2)C3CC3)CC1,[Core]C1CC1,[X]C1CC1,TFA,1,65,0.6475,22.3,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,F[B-](F)(F)C1CC1.[K+],C[C@@H]1CN(CCN1c2ncc(cn2)C3CC3)C(=O)COC(C)(C)C,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,BrC1CC1,C[C@@H]1CN(CCN1c2ncc(cn2)C3CC3)C(=O)COC(C)(C)C,[Core]C1CC1,[X]C1CC1,,,5,0.0532,2.3,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,OC(=O)C1CC1,C[C@@H]1CN(CCN1c2ncc(cn2)C3CC3)C(=O)COC(C)(C)C,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,F[B-](F)(F)C1CC1.[K+],C[C@@H]1CN(CCN1c2ncc(cn2)C3CC3)C(=O)COC(C)(C)C,[Core]C1CC1,[X]C1CC1,,,65,0.6527,21.7,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CN1CC(=O)OB(OC(=O)C1)C2CC2,C[C@@H]1CN(CCN1c2ncc(cn2)C3CC3)C(=O)COC(C)(C)C,[Core]C1CC1,[X]C1CC1,,,43,0.4271,14.2,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,BrC1CC1,C[C@@H]1CN(CCN1c2ncc(cn2)C3CC3)C(=O)COC(C)(C)C,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
Negishi-Pd,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,Br[Zn]C1CC1,C[C@@H]1CN(CCN1c2ncc(cn2)C3CC3)C(=O)COC(C)(C)C,[Core]C1CC1,[X]C1CC1,TFA,1,47,0.4681,20.9,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,F[B-](F)(F)C1CC1.[K+],O=C1COCc2nc3ccc(cn3c12)C4CC4,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,BrC1CC1,O=C1COCc2nc3ccc(cn3c12)C4CC4,[Core]C1CC1,[X]C1CC1,,,12,0.1213,3.6,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,OC(=O)C1CC1,O=C1COCc2nc3ccc(cn3c12)C4CC4,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,F[B-](F)(F)C1CC1.[K+],O=C1COCc2nc3ccc(cn3c12)C4CC4,[Core]C1CC1,[X]C1CC1,,,25,0.2453,5.6,2 - Secondary,alkyl,--,,,
MIDA-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CN1CC(=O)OB(OC(=O)C1)C2CC2,O=C1COCc2nc3ccc(cn3c12)C4CC4,[Core]C1CC1,[X]C1CC1,,,34,0.3373,7.7,2 - Secondary,alkyl,--,,,
CEC-Ni-Weix,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,BrC1CC1,O=C1COCc2nc3ccc(cn3c12)C4CC4,[Core]C1CC1,[X]C1CC1,,,0,0,0,2 - Secondary,alkyl,--,,,
Negishi-Pd,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,Br[Zn]C1CC1,O=C1COCc2nc3ccc(cn3c12)C4CC4,[Core]C1CC1,[X]C1CC1,TFA,1,64,0.6428,22,2 - Secondary,alkyl,--,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1CCC(NC(OC(C)(C)C)=O)CC1.[K+],CC(C)(C)OC(=O)NC1CCC(CC1)c2cccc(c2)n3cccn3,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,41,0.4138,16.7,2 - Secondary,alkyl,carbamate/amide,,,
CEC-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)(C)OC(=O)NC1CCC(Br)CC1,CC(C)(C)OC(=O)NC1CCC(CC1)c2cccc(c2)n3cccn3,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,16,0.1577,7,2 - Secondary,alkyl,carbamate/amide,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,CC(C)(C)OC(=O)NC1CCC(CC1)C(=O)O,CC(C)(C)OC(=O)NC1CCC(CC1)c2cccc(c2)n3cccn3,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,11,0.1125,4.8,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1CCC(NC(OC(C)(C)C)=O)CC1.[K+],CC(C)(C)OC(=O)NC1CCC(CC1)c2cccc(c2)n3cccn3,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,0,0,0,2 - Secondary,alkyl,carbamate/amide,,,
CEC-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)(C)OC(=O)NC1CCC(Br)CC1,CN1CCN(Cc2ccc(cc2)C3CCC(CC3)NC(=O)OC(C)(C)C)CC1,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,TFA,1,10,0.1005,6.3,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C1CCC(NC(OC(C)(C)C)=O)CC1.[K+],CN1CCN(Cc2ccc(cc2)C3CCC(CC3)NC(=O)OC(C)(C)C)CC1,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,TFA,1,44,0.4418,27.7,2 - Secondary,alkyl,carbamate/amide,,,
COOH-Ni-photoredox,CN1CCN(CC(C=C2)=CC=C2Br)CC1,CC(C)(C)OC(=O)NC1CCC(CC1)C(=O)O,CN1CCN(Cc2ccc(cc2)C3CCC(CC3)NC(=O)OC(C)(C)C)CC1,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,TFA,1,6,0.0606,3.8,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Pd-Suzuki,CN1CCN(CC(C=C2)=CC=C2Br)CC1,F[B-](F)(F)C1CCC(NC(OC(C)(C)C)=O)CC1.[K+],CN1CCN(Cc2ccc(cc2)C3CCC(CC3)NC(=O)OC(C)(C)C)CC1,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,5,0.049,1.9,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,F[B-](F)(F)C1CCC(NC(OC(C)(C)C)=O)CC1.[K+],C[C@@H]1CN(CCN1c2ncc(cn2)C3CCC(CC3)NC(=O)OC(C)(C)C)C(=O)COC(C)(C)C,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,37,0.3672,21.7,2 - Secondary,alkyl,carbamate/amide,,,
CEC-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)(C)OC(=O)NC1CCC(Br)CC1,C[C@@H]1CN(CCN1c2ncc(cn2)C3CCC(CC3)NC(=O)OC(C)(C)C)C(=O)COC(C)(C)C,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,27,0.2718,17.3,2 - Secondary,alkyl,carbamate/amide,,,
COOH-Ni-photoredox,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,CC(C)(C)OC(=O)NC1CCC(CC1)C(=O)O,C[C@@H]1CN(CCN1c2ncc(cn2)C3CCC(CC3)NC(=O)OC(C)(C)C)C(=O)COC(C)(C)C,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,0,0,0,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Pd-Suzuki,O=C(COC(C)(C)C)N(CC1)C[C@@H](C)N1C2=NC=C(Br)C=N2,F[B-](F)(F)C1CCC(NC(OC(C)(C)C)=O)CC1.[K+],C[C@@H]1CN(CCN1c2ncc(cn2)C3CCC(CC3)NC(=O)OC(C)(C)C)C(=O)COC(C)(C)C,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,2,0.0204,1,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,F[B-](F)(F)C1CCC(NC(OC(C)(C)C)=O)CC1.[K+],CC(C)(C)OC(=O)NC1CCC(CC1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,23,0.2253,10.9,2 - Secondary,alkyl,carbamate/amide,,,
CEC-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)(C)OC(=O)NC1CCC(Br)CC1,CC(C)(C)OC(=O)NC1CCC(CC1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,9,0.0938,4.7,2 - Secondary,alkyl,carbamate/amide,,,
COOH-Ni-photoredox,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,CC(C)(C)OC(=O)NC1CCC(CC1)C(=O)O,CC(C)(C)OC(=O)NC1CCC(CC1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,0,0,0,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Pd-Suzuki,O=C(COC1)C2=C1N=C3N2C=C(Br)C=C3,F[B-](F)(F)C1CCC(NC(OC(C)(C)C)=O)CC1.[K+],CC(C)(C)OC(=O)NC1CCC(CC1)c2ccc3nc4COCC(=O)c4n3c2,[Core]C1CCC(CC1)NC(=O)OC(C)(C)C,[X]C1CCC(CC1)NC(=O)OC(C)(C)C,,,0,0,0,2 - Secondary,alkyl,carbamate/amide,,,
BF3K-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1CCC1.[K+],C1CC(C1)c2cccc(c2)n3cccn3,[Core]C1CCC1,[X]C1CCC1,,,40,0.3954,9.8,2 - Secondary,alkyl,--,,,
CEC-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,BrC1CCC1,C1CC(C1)c2cccc(c2)n3cccn3,[Core]C1CCC1,[X]C1CCC1,,,19,0.194,5,2 - Secondary,alkyl,--,,,
COOH-Ni-photoredox,BrC1=CC(N2N=CC=C2)=CC=C1,OC(=O)C1CCC1,C1CC(C1)c2cccc(c2)n3cccn3,[Core]C1CCC1,[X]C1CCC1,,,0,0,0,2 - Secondary,alkyl,--,,,
BF3K-Pd-Suzuki,BrC1=CC(N2N=CC=C2)=CC=C1,F[B-](F)(F)C1CCC1.[K+],C1CC(C1)c2cccc(c2)n3cccn3,[Core]C1CCC1,[X]C1CCC1,,,2,0.0202,0.4,2 - Secondary,alkyl,--,,,
